kata,jenis,kategori,pengucapan,penjelasan,arti,gambar
horned_melon,None,buah,None,None,Horned_melon,Default.jpg
hog_plum,None,buah,None,None,hog_plum,Default.jpg
hard_kiwi,None,buah,None,None,hard_kiwi,Default.jpg
quince,noun,buah,ˈkwin(t)s,Buah dari pohon Asia Tengah (Cydonia oblonga) dari keluarga mawar yang menyerupai apel kuning berdaging dan digunakan terutama dalam pelestarian,quince,Default.jpg
grapefruit,noun,buah,ˈgrāp-ˌfrüt,"Buah jeruk bundar besar dengan kulit kuning pahit dan bubur kuning pucat, merah muda, atau bubur kemerahan",jeruk bali,Default.jpg
indian_strawberry,None,buah,None,None,Indian_strawberry,Default.jpg
custard_apple,noun,buah,custard apple,salah satu dari beberapa buah-buahan yang dapat dimakan oleh orang Amerika tropis yang dapat dimakan,custard_apple,Default.jpg
banana,noun,buah,bə-ˈna-nə,Buah tropis yang biasanya memanjang dengan daging soft pulpy tertutup dalam kulit lembut biasanya kuning,pisang,Default.jpg
medlar,noun,buah,ˈmed-lər,Sebuah pohon Eurasia kecil yang gugur (Mespilus Germanica) dari keluarga mawar yang buahnya menyerupai apel kepiting dan digunakan dalam pelestarian;Juga: buahnya,Medlar,Default.jpg
otaheite_apple,None,buah,None,None,Otaheite_apple,Default.jpg
feijoa,noun,buah,fā-ˈyō-ə,Buah ronde hijau atau oval berair dari semak atau pohon kecil (feijoa sellowiana) dari keluarga myrtle yang berasal dari Amerika Selatan dan ditanam secara komersial terutama di Selandia Baru;Juga: pohon atau semak,feijoa,Default.jpg
camu_camu,None,buah,None,None,camu_camu,Default.jpg
kaffir_lime,noun,buah,kaffir lime,Pohon jeruk (jeruk hytrix) dari Asia Tenggara yang memiliki daun aromatik dan buah-buahan hijau bundar yang digunakan terutama dalam masakan Thailand;Juga: daun atau buahnya,kaffir_lime,Default.jpg
jackfruit,noun,buah,ˈjak-ˌfrüt,Pohon Asia tropis besar (Artocarpus heterophyllus) terkait dengan sukun yang menghasilkan kayu kuning berbutir halus dan buah-buahan besar yang mengandung bubur yang dapat dimakan dan biji bergizi;Juga: buahnya,nangka,Default.jpg
damson,noun,buah,ˈdam-zən,buah tart kecil dari pohon prem Asia yang dibudidayakan secara luas (prunus insititia);juga: pohon ini,prem,Default.jpg
greengage,noun,buah,ˈgrēn-ˌgāj,salah satu dari beberapa plum yang dibudidayakan kehijauan atau kehijauan kuning,Greengage,Default.jpg
goumi,None,buah,None,None,goumi,Default.jpg
apple,noun,buah,ˈa-pəl,"Buah pome berdaging, biasanya bulat merah, kuning, atau hijau yang dapat dimakan dari pohon yang biasanya dibudidayakan (genus Malus) dari keluarga mawar;Juga: pohon apel",apel,Default.jpg
cluster_fig,None,buah,None,None,cluster_fig,Default.jpg
rose_leaf_bramble,None,buah,None,None,rose_leaf_bramble,Default.jpg
passion_fruit,noun,buah,passion fruit,buah yang dapat dimakan dari hairplower;Khususnya: Buah ungu atau kuning kecil bundar dari bunga passion Brasil (Passiflora edulis) yang ditanam secara komersial di bagian yang lebih hangat dari A.S.,markisa,Default.jpg
cashew,noun,buah,ˈka-(ˌ)shü,"Sebuah pohon Amerika tropis (Anacardium occidentale dari keluarga Anacardiaceae, keluarga mete) tumbuh untuk minyak fenolik dan kernel yang dapat dimakan kacang dan untuk permen karet dari batangnya;Juga: kacang mete",Mete,Default.jpg
rambutan,noun,buah,ram-ˈbü-tᵊn,Buah Malaya berduri merah cerah terkait erat dengan leci;Juga: pohon (nephelium lappaceum) dari keluarga soapberry yang menghasilkan buah ini,Rambutan,Default.jpg
mangosteen,noun,buah,ˈmaŋ-gə-ˌstēn,Buah ungu kemerahan gelap di Asia Tenggara dengan kulit tebal dan daging berair memiliki rasa sugestif baik buah persik dan nanas;Juga: pohon (Garcinia mangostana) dari keluarga Saint-John's-Wort yang menanggung manggis,manggis,Default.jpg
hawthorn,noun,buah,ˈhȯ-ˌthȯrn,"Salah satu genus (krataegus) semak-semak berduri yang berbunga musim semi atau pohon-pohon kecil keluarga mawar dengan daun yang mengkilap dan sering kali lobed, bunga wangi putih atau merah muda, dan buah-buahan merah kecil",sejenis semak,Default.jpg
ugli_fruit,None,buah,None,None,UGLI_FRUIT,Default.jpg
jambul,None,buah,None,None,Jambul,Default.jpg
pomegranate,noun,buah,ˈpä-mə-ˌgra-nət,Berry kemerahan beberapa bersel dengan ukuran jeruk dengan kulit kasar tebal dan banyak biji dengan aril crimson pulpy rasa asam asam,delima,Default.jpg
chico,geographical name,buah,ˈchē-(ˌ)kō,City North of Sacramento di California Barat Populasi 86.187,Chico,Default.jpg
raspberry,noun,buah,ˈraz-ˌber-ē,Salah satu dari berbagai buah beri yang biasanya dimakan hitam atau merah yang merupakan buah agregat yang terdiri dari banyak drup kecil pada wadah berdaging dan yang biasanya lebih bulat dan lebih kecil dari blackberry yang terkait erat,frambos,Default.jpg
jocote,None,buah,None,None,Jocote,Default.jpg
acerola,noun,buah,ˌa-sə-ˈrō-lə,salah satu dari beberapa semak Amerika tropis (genus Malpighia dari keluarga Malpighiaceae);Khususnya: semak besar atau pohon kecil (Sinonim Malpighia glabra M. punicifolia) yang ditemukan dari Texas ke Amerika Selatan Utara dan Hindia Barat yang memiliki buah -buahan seperti ceri yang sangat kaya sangat kaya vitamin C,Acerola,Default.jpg
acai,noun,buah,ˌä-ˌsä-ˈē,"Buah kecil, ungu gelap, seperti berry dengan bubur berair yang sering digunakan dalam minuman atau dimakan mentah dan yang diproduksi oleh telapak tangan yang tinggi dan ramping (Euterpe oleracea) asli dari hutan hujan tropis di Amerika Tengah dan Selatan Selatan",acai,Default.jpg
morinda,None,buah,None,None,Morinda,Default.jpg
gooseberry,noun,buah,ˈgüs-ˌber-ē,"Asam biasanya buah berduri dari salah satu dari beberapa semak (genus ribes, terutama R. hirtellum dari AS dan R. Uva-Crispa Eropa) dikelompokkan terutama sebelumnya dalam keluarga Saxifrage tetapi sekarang sering ditempatkan dalam keluarga yang terpisah (Grossulariaceae, gooseberry the gooseberikeluarga)",Gooseberry,Default.jpg
mandarine,None,buah,None,None,jeruk keprok,Default.jpg
barbadine,None,buah,None,None,Barbadine,Default.jpg
apricot,noun,buah,ˈa-prə-ˌkät,Buah berwarna oval oranye dari pohon zona beriklim (Prunus armeniaca) menyerupai persik terkait dan prem dalam rasa,aprikot,Default.jpg
lablab,None,buah,None,None,lablab,Default.jpg
elderberry,noun,buah,ˈel-dər-ˌber-ē,Drupe berry hitam atau merah yang dapat dimakan dari salah satu genus (sambucus) semak atau pohon keluarga honeysuckle yang membawa kelompok datar bunga putih atau merah muda kecil,Elderberry,Default.jpg
guava,noun,buah,ˈgwä-və,salah satu dari beberapa semak tropis Amerika atau pohon kecil (genus psidium) dari keluarga myrtle;Khususnya: Pohon semak (P. guajava) dibudidayakan secara luas karena buahnya yang berkulit kuning dengan daging kuning atau daging merah muda manis,jambu biji,Default.jpg
black_mullberry,None,buah,None,None,Black_mullberry,Default.jpg
cherimoya,noun,buah,ˌcher-ə-ˈmȯi-ə,"Buah bundar, lonjong, atau berbentuk hati dengan kulit hijau pucat yang diadu yang ditanggung oleh pohon Amerika tropis yang dibudidayakan (Annona Cherimola) dari keluarga Custard-Apple;juga: pohon ini",Cherimoya,Default.jpg
jaboticaba,noun,buah,zhə-ˌbü-ti-ˈkä-bə,Pohon Brasil (Myrciaria cauliflora) dari keluarga Myrtle yang dibudidayakan di daerah yang hangat untuk buahnya yang dapat dimakan biasanya,Jaboticaba,Default.jpg
black_berry,noun,buah,ˈblak-ˌber-ē,Buah agregat berair yang biasanya hitam atau ungu gelap tetapi kumuh dari berbagai semak semu (genus rubus) dari keluarga mawar,Black_berry,Default.jpg
pineapple,noun,buah,ˈpī-ˌna-pəl,"Tanaman monokotil tropis (Ananas comosus dari keluarga Bromeliaceae, keluarga nanas) yang memiliki daun berulang berderak kaku dan tangkai pendek dengan kepala bunga padel dari bunga-bunga kecil yang gagal dibatalkan",nanas,Default.jpg
redcurrant,noun,buah,red currant,Salah satu dari dua kismis Dunia Lama (Ribes sativum dan R. rubrum) sering dibudidayakan untuk buahnya;juga: buahnya,redcurrant,Default.jpg
prikly_pear,None,buah,None,None,prikly_pear,Default.jpg
pea,noun,buah,ˈpē,Variabel tahunan Eurasia Vine (Pisum sativum) dari keluarga legum yang dibudidayakan terutama untuk biji kaya protein yang dapat dimakan halus atau keriput,kacang,Default.jpg
jamaica_cherry,None,buah,None,None,Jamaika_Cherry,Default.jpg
durian,noun,buah,ˈdu̇r-ē-ən,buah oval besar yang lezat tapi berbau busuk dengan kulit berduri,durian,Default.jpg
finger_lime,None,buah,None,None,finger_lime,Default.jpg
abiu,None,buah,None,None,Abiu,Default.jpg
oil_palm,noun,buah,oil palm,Telapak tangan berdaun pinnat Afrika (Elaeis guineensis) yang dibudidayakan untuk buahnya yang berkerumun dan biji-bijiannya menghasilkan minyak,oil_palm,Default.jpg
sugar_apple,noun,buah,sugar apple,pohon tropis Amerika (Annona squamosa) dari keluarga custard-apple;Juga: buah manis manisnya yang dapat dimakan dengan kulit bersisik hijau tebal dan biji hitam bersinar,Sugar_apple,Default.jpg
eggplant,noun,buah,ˈeg-ˌplant,Ramuan Asia abadi yang dibudidayakan secara luas (Solanum melongena) dari keluarga nightshade menghasilkan buah yang dapat dimakan,terong,Default.jpg
corn_kernel,None,buah,None,None,jagung pipilan,Default.jpg
taxus_baccata,None,buah,None,None,taxus_baccata,Default.jpg
cupuacu,None,buah,None,None,Cupuacu,Default.jpg
strawberry_guava,None,buah,None,None,Strawberry_guava,Default.jpg
sea_buckthorn,None,buah,None,None,Sea_buckthorn,Default.jpg
cempedak,None,buah,None,None,Cempeda,Default.jpg
papaya,noun,buah,pə-ˈpī-ə,"Sebuah pohon Amerika tropis (Carica pepaya dari keluarga Caricaceae, keluarga pepaya) yang memiliki buah -buahan yang dapat dimakan kuning dengan banyak biji hitam di rongga sentral;Juga: buahnya",pepaya,Default.jpg
kumquat,noun,buah,ˈkəm-ˌkwät,Salah satu dari beberapa buah jeruk kuning hingga oranye dengan kulit spons manis dan bubur asam yang digunakan terutama untuk pengawet;Juga: pohon atau semak (genus fortunella) dari keluarga rue yang mengandung kumquats,Kumquat,Default.jpg
cranberry,noun,buah,ˈkran-ˌber-ē,berry asam merah yang diproduksi oleh beberapa tanaman (seperti vaccinium oxycoccos dan V. macrocarpon) dari keluarga Heath;Juga: tanaman yang memproduksi ini,cranberi,Default.jpg
coconut,noun,buah,ˈkō-kə-(ˌ)nət,"Buah Drupaceous dari Palm Lingkar yang sekam serat luarnya menghasilkan coir dan murnya mengandung daging tebal yang dapat dimakan dan, dalam buah segar, cairan bening",kelapa,Default.jpg
ambarella,None,buah,None,None,Ambarella,Default.jpg
rose_hip,noun,buah,rose hip,Buah mawar yang biasanya merah atau oranye matang yang terdiri dari wadah berdaging yang melampirkan banyak achene,rose_hip,Default.jpg
brazil_nut,noun,buah,brə-ˈzil-,Sebuah pohon Amerika Selatan yang tinggi (Bertholletia Excelsa dari keluarga Lecythidaceae) yang memiliki kapsul globular besar masing -masing berisi beberapa kacang yang dapat dimakan berminyak segitiga;Juga: kacangnya,kacang Brazil,Default.jpg
avocado,noun,buah,ˌä-və-ˈkä-(ˌ)dō,Buah beraroma kacang hijau berkulit ungu berkulit ungu dari berbagai pohon Amerika tropis (genus Persea terutama P. americana) dari keluarga Laurel;Juga: A Alpukat Bertemu Pohon,alpukat,Default.jpg
bitter_gourd,None,buah,None,None,labu pahit,Default.jpg
pawpaw,noun,buah,paw*paw,pepaya,papaya,Default.jpg
longan,noun,buah,ˈlȯŋ-gən,Buah pulpy yang terkait dengan leci dan diproduksi oleh pohon evergreen Asia tenggara (Euphoria lugan sinonim dimocarpus loncan) dari keluarga soapberry,Letah,Default.jpg
jujube,noun,buah,ˈjü-ˌjüb,gumdrop rasa buah atau permen,Jujube,Default.jpg
ackee,noun,buah,ˈa-ˌkē,"the fruit of an African tree (Blighia sapida) of the soapberry family grown in the Caribbean area, Florida, and Hawaii for its white or yellowish fleshy aril that is edible when ripe but is poisonous when immature or overripe and that has a toxic pink raphemenempelkan aril ke benih;juga: pohon itu",Ackee,Default.jpg
white_currant,None,buah,None,None,white_currant,Default.jpg
langsat,None,buah,None,None,Langsat,Default.jpg
grenadilla,None,buah,None,None,Grenadilla,Default.jpg
yali_pear,None,buah,None,None,yali_pear,Default.jpg
malay_apple,None,buah,None,None,Malay_apple,Default.jpg
yellow_plum,None,buah,None,None,yellow_plum,Default.jpg
emblic,None,buah,None,None,Emblic,Default.jpg
mountain_soursop,None,buah,None,None,gunung_soursop,Default.jpg
plumcot,None,buah,None,None,Plumcot,Default.jpg
sapodilla,noun,buah,ˌsa-pə-ˈdi-lə,"Sebuah pohon hijau Amerika tropis (sinonim Manilkara Zapota Achras Zapota dari keluarga Sapotaceae, keluarga sapodilla) dengan kayu kemerahan yang keras, lateks yang menghasilkan chicle, dan buah kecoklatan berkulit kasar dengan daging manis;Juga: buahnya",Sapodilla,Default.jpg
mock_strawberry,None,buah,None,None,mock_strawberry,Default.jpg
salak,None,buah,None,None,Salak,Default.jpg
olive,noun,buah,ˈä-liv,"Pohon Evergreen Mediterania (Olea Europaea dari keluarga Oleaceae, keluarga zaitun) yang dibudidayakan untuk buah -buahannya yang drupaceous yang merupakan makanan penting dan sumber minyak;juga: buahnya",Zaitun,Default.jpg
betel_nut,noun,buah,betel nut,benih astringen telapak tangan,Betel_nut,Default.jpg
dewberry,noun,buah,ˈdü-ˌber-ē,salah satu dari beberapa buah beri yang dapat dimakan yang terkait dan menyerupai blackberry,Dewberry,Default.jpg
mango,noun,buah,ˈmaŋ-(ˌ)gō,"Buah ovoid besar yang biasanya besar atau lonjong dengan kulit merah kekuningan yang kuat, batu pusat yang keras, dan bubur aromatik berair;Juga: Pohon Evergreen (Mangifera Indica) dari keluarga mete yang menanggung mangga",buah mangga,Default.jpg
mabolo,None,buah,None,None,Mabolo,Default.jpg
santol,None,buah,None,None,Santol,Default.jpg
barberry,noun,buah,ˈbär-ˌber-ē,"Salah satu genus (Berberis dari keluarga Berberidaceae, keluarga barberry) dari semak biasanya memiliki duri, biasanya bunga kuning, dan buah beri merah atau kehitaman lonjong",Barberry,Default.jpg
chokeberry,noun,buah,ˈchōk-ˌber-ē,buah astringen seperti berry kecil;Juga: salah satu genus (Aronia) semak -semak Amerika Utara dari keluarga Rose yang membawa chokeberry,chokeberry,Default.jpg
jalapeno,noun,buah,ˌhä-lə-ˈpā-(ˌ)nyō,Cabai hijau gelap montok dari Meksiko dan AS selatan - disebut juga lada jalapeño,jalapeno,Default.jpg
fig,noun,buah,ˈfig,Buah syconium berbentuk lonjong atau pir dari pohon (genus ficus) dari keluarga mulberry,ara,Default.jpg
chenet,None,buah,None,None,Chenet,Default.jpg
dragonfruit,noun,buah,dragon fruit,"Buah besar biasanya oval untuk membungkam dari beberapa dari beberapa kaktus ereksi, luas, atau anggur (seperti genera selenicereus, hylocereus, atau sternocereus) yang memiliki kulit kasar dengan paku bersisik yang menonjol dan daging berair: pitaya;Khususnya: Buah dari kaktus yang dibudidayakan secara luas (Hylocereus undatus) dari Meksiko dan Amerika Tengah yang biasanya memiliki kulit merah muda atau merah cerah dan putih atau kadang -kadang merah, daging yang agak manis dengan banyak biji hitam kecil",buah naga,Default.jpg
grape,noun,buah,ˈgrāp,Hijau muda berair berkulit halus atau merah tua untuk ungplish berry hitam dimakan kering atau segar seperti buah atau difermentasi untuk menghasilkan anggur,anggur,Default.jpg
